id,user,created_at,text,列1,列2,fav,RT,follower,follows
1.32E+18,_JYP_TWICE_ONCE,2020/11/6 6:46,疑惑に上がった方が一般人だし、JYPの「公式的立場はございません。」のコメントが最適解だと思う。ジヒョ様とももりんは、お相手が芸能人だから双方の事務所と本人が話し合って双方が認めたのであって、一般人となると、否定も肯定もすることは難しいんじゃないかな。,0,,5,0,319,323
1.32E+18,fjxxxx,2020/11/6 6:33,EXO・チャニョルの十股疑惑もTWICE・チェヨンの彫り師との熱愛も事務所が一々否定しなかったといふだけで認めたわけではないですよ。,0,,3,0,348,2332
1.32E+18,kahori_haru,2020/11/4 22:36,伊藤健太郎くんの事務所社長はちゃんとしてるね、彼への誹謗中傷を否定して守ってるね、普通そうだよね…,0,,2,1,40,116
1.32E+18,miki158s,2020/11/5 23:29,「ウィスコンシン州で投票率が100％を超えた」「バイデン氏の不正」はデマ。当日に有権者登録が可能、保守系メディアも否定 https://t.co/ay5M8DWWss,1,,0,0,182,689
1.32E+18,1010_ishigaki,2020/11/5 22:53,やっぱりデマだったのか😭NHK会長　紅白“有観客検討”報道に怒り　完全否定「そういう事実はございません」― スポニチ Sponichi Annex 芸能 https://t.co/LOTYqva0QI,1,,0,0,213,293
1.32E+18,sakurazaka6242,2020/11/3 8:31,横浜流星、西野七瀬との熱愛疑惑を“完全否定”!?｜エンタMEGA https://t.co/OZSEqpMnLN,1,,0,0,6247,6847
1.32E+18,Fehling_solut,2020/11/4 4:41,バイデン氏の息子、不正行為否定　ウクライナ疑惑めぐり: 日本経済新聞 https://t.co/Qv60kSSFfk,1,,1,0,273,363
1.32E+18,sirabee_news,2020/11/5 22:41,特集をキッパリ否定小林礼奈、流れ星・瀧上との匂わせ疑惑に苦笑い　「何も狙ってたわけじゃなく…」 | ニュースサイトしらべぇ https://t.co/psxqoehJUy@sirabee_news #小林礼奈 #瀧上伸一郎,1,,1,1,103095,288
1.32E+18,minalynx7,2020/11/5 8:24,拡散されたデマは、ウィスコンシン州の開票作業で『突如謎の12万票が追加された』『投票率が100%を超えた（200%とも）』『怪しいので州兵が集計に参加』など。しかし、ウィスコンシン州の選挙管理委員会のほか、保守系のFOXニュースなどが相次いでこの疑惑を否定している。https://t.co/xchL118S0I,1,,6,12,8,194
1.32E+18,Tennis_Classic_,2020/11/5 6:56,【ズベレフが元恋人への暴行疑惑を改めて否定「真実でない」】↓Click!!https://t.co/JcVldPnK5j#ズベレフ#テニス#テニスクラシック#alexanderzverev#tennis#tennisclassic,1,,1,0,1889,456
1.32E+18,GOMAmura,2020/11/6 8:26,ホン・ジニョン、論文の盗作疑惑を否定…事務所がコメント「審査した教授にも確認…絶対にやっていない」 https://t.co/wUhcwn93WK,1,,0,0,1155,1135
1.32E+18,jagata_kun,2020/11/4 8:02,【俳優】伊藤健太郎の事務所、「車を買い与えた」報道を否定　　前の事務所時代に購入  [muffin★] https://t.co/DWlZXPChZX,1,,0,0,21763,17444
1.32E+18,LdHuuQhUnEPBm5U,2020/11/5 4:15,A.B.C-Z、事務所退所の江頭2:50に感謝もジャニーズ勧誘は否定「江頭さんの良さがなくなる」https://t.co/GWc8XvlgGj,1,,0,0,1077,1040
1.32E+18,The_sekizous,2020/11/3 22:36,【朝日報道】宮崎大輔容疑者、被害者が暴力否定https://t.co/AeWIAR9YX5暴行容疑で逮捕・送検された宮崎大輔容疑者の弁護人が3日、取材に対し、女性が「暴力は振るわれておらず、髪の毛を引っ張られてもいない」と話していることを明らかにした。被害届を出す予定はないという。#宮崎大輔,1,,0,0,1824,3378
1.32E+18,inkyoto_now,2020/11/4 14:13,小泉環境相、温室効果ガスゼロ目標の報道否定　国民・玉木氏への「事前説明」で https://t.co/WRqn0Chl7C @Sankei_newsより 「脱炭素の理解者を増やしていく活動は幅広くやっていきたい」と語った。,1,,0,0,935,897
1.32E+18,Sanaenoblog,2020/11/4 8:56,アデル、ラッパーのスケプタとの交際報道を否定「私は猫好きシングル女性」(ELLE ONLINE) https://t.co/bW3cd1lLts,1,,0,0,578,732
1.32E+18,marvelnewsjapan,2020/11/4 6:08,マーベル「シー・ハルク」主演と報じられた女優、報道を否定 - モデルプレス https://t.co/GyBem8tAcc https://t.co/u9nL0IfLRl,1,,0,0,368,8
1.32E+18,pa_pa_ra,2020/11/5 23:51,NEWS 『韓国WTO候補 辞退を検討か』韓国政府が、兪明希（ユ・ミョンヒ）産業通商資源部通商交渉本部長のWTO事務局長候補辞退案を事実上、決定したと朝鮮日報が報じた。韓国政府は報道を否定している。 https://t.co/3OIARwwgJk,1,,0,0,2953,2943
1.32E+18,saiha_rss,2020/11/5 12:05,『STAR WARS：スコードロン』開発スタジオが「新たなスターウォーズゲームに取り組んでいる」との報道を否定 https://t.co/xx3zCu7RTk,1,,0,0,294,7
