id,user,created_at,text,fav,RT,follower,follows
1333013456807632899,20aska3,2020-11-29 11:42:28,開発者のキャリーマリスがPCRは診断に使えないと言ったのは当然のことそのために作ってないんだもん上のツイートの最初の一文だけ読んで「キャリーマリスが診断に使えないと言ったのはデマだファクトチェックで否定されている」と言われても（ファクトチェックという言葉を使いたいんだな）としか,1,0,190,91
1333006789965606912,shop_kakiko,2020-11-29 11:15:59,Jack Hikuma氏のライブより（1）（印象的な部分だけ）左派の戦術（メディアは全て民主党の味方）　ありとあらゆる出来事の全てを否定する。ひたすら根拠がない証拠がないをくり返す。反対の声はデマと断言して押し切る。,173,26,36240,8875
1332995104609484801,0OdTiHcGLkLbsMB,2020-11-29 10:29:33,普段デマばかりの人でも利害が関係無いからなのであろうか？すんごくマトモな意見を言ってるのを目にする。直接話つければいいのにTwitterで論争するから、どっち側にもアホが大量に沸いてきて……。こんなので双方の評価を変えることはない。橋下さんの実績や業績を否定しないのと一緒で。,0,0,334,548
1332985798245814276,1997_0468,2020-11-29 09:52:34,虚言癖妄想🚺の仕業で今回のがデマだったら今日辺りのブログで違いますとか否定してくれたら🚺はどんな投稿かストーリー上げるんだろう,0,0,26,24
1332978129904705543,LsvJhMaeD,2020-11-29 09:22:06,その、少し前に男に「茉莉花の家はゴミ屋敷」とデマを流されたんだが、いくら否定してもな、男が流すデマってのは嫌になるほど信用があるせいで、知らない間に学年に広まっててな。私の家はそもそも毎日客人が来るから、汚いなんてことあったら誰も来なくなるんだ、でも噂って結構続くだろ。,0,0,36,74
1332974801783189504,yun0m1_,2020-11-29 09:08:52,@hyakutanaoki 大統領選の不正を否定したわけではなく、“それに関しての情報全てを鵜呑みにするのはやめろ”と言っただけでは？デマに近い情報が流布されていたのは事実なわけで、それすらも信じるのは慰安婦騒ぎしている奴らと同じになると警告しただけでしょう。どこが挑発？冷静なるべき。,2,0,4,15
1332968622940012544,URYUU001,2020-11-29 08:44:19,コロナ禍は大災害の状況になってきた。健康無事で生き延びることに死力を尽くそう。生存の確率を上げる為には手洗い消毒だけでは不足だ。政府を徹底的に批判し、デマや非科学的な言説を否定し、真っ当なジャーナリズムに金を払い、貧しい人を支援しよう。必要なのは社会全体の強化だ。,0,0,113,175
1332954135193219073,FOREVER_DASAI,2020-11-29 07:46:45,ファクトチェックのファクトチェックとかいう時代が来ている、メディアも平気で嘘をつくし。ちょっと前の話だが、CNNのトランプと家族周辺デマ報道とそれを右から左に流した日本マスコミにはかなり失望した、速攻当人たちに否定されてたし。,0,0,214,224
1332951255782621184,KonyaDamarenai,2020-11-29 07:35:19,【話題の画像】みんな！１８才未満がLINEが使えなくなるっていうのはデマたよ！公式アカウントが否定してる！ID検索が使えなくなるだけだよ！ https://t.co/aXFJjjAh0e,0,0,1138,1339
1332951027230797824,Shionhokke,2020-11-29 07:34:24,@Soukawbtgai 言っておきますが池田名誉会長が否定したことがありますか？あるはずがないんです。自分が認めておいてそれを否定するはずがありません。貴方は又聞きをした事実無根のデマを持ち出しているだけです。日顕上人だけないとの説明から先にしてくださいね。,0,0,275,144
